Num;alim_nom_fr;alim_nom_sci;alim_grp_code;alim_grp_nom_fr;alim_ssgrp_code;alim_ssgrp_nom_fr;alim_ssssgrp_code;alim_ssssgrp_nom_fr;Energie, Règlement UE N° 1169/2011 (kJ/100 g);Energie, Règlement UE N° 1169/2011 (kcal/100 g);Energie, N x facteur Jones, avec fibres  (kJ/100 g);Energie, N x facteur Jones, avec fibres  (kcal/100 g);Eau (g/100 g);Protéines, N x facteur de Jones (g/100 g);Protéines, N x 625 (g/100 g);Glucides (g/100 g);Lipides (g/100 g);Sucres (g/100 g);Fructose (g/100 g);Galactose (g/100 g);Glucose (g/100 g);Lactose (g/100 g);Maltose (g/100 g);Saccharose (g/100 g);Amidon (g/100 g);Fibres alimentaires (g/100 g);Polyols totaux (g/100 g);Cendres (g/100 g);Alcool (g/100 g);Acides organiques (g/100 g);AG saturés (g/100 g);AG monoinsaturés (g/100 g);AG polyinsaturés (g/100 g);AG 4:0, butyrique (g/100 g);AG 6:0, caproïque (g/100 g);AG 8:0, caprylique (g/100 g);AG 10:0, caprique (g/100 g);AG 12:0, laurique (g/100 g);AG 14:0, myristique (g/100 g);AG 16:0, palmitique (g/100 g);AG 18:0, stéarique (g/100 g);AG 18:1 9c (n-9), oléique (g/100 g);AG 18:2 9c,12c (n-6), linoléique (g/100 g);AG 18:3 c9,c12,c15 (n-3), alpha-linolénique (g/100 g);AG 20:4 5c,8c,11c,14c (n-6), arachidonique (g/100 g);AG 20:5 5c,8c,11c,14c,17c (n-3) EPA (g/100 g);AG 22:6 4c,7c,10c,13c,16c,19c (n-3) DHA (g/100 g);Cholestérol (mg/100 g);Sel chlorure de sodium (g/100 g);Calcium (mg/100 g);Chlorure (mg/100 g);Cuivre (mg/100 g);Fer (mg/100 g);Iode (µg/100 g);Magnésium (mg/100 g);Manganèse (mg/100 g);Phosphore (mg/100 g);Potassium (mg/100 g);Sélénium (µg/100 g);Sodium (mg/100 g);Zinc (mg/100 g);Rétinol (µg/100 g);Beta-Carotène (µg/100 g);Vitamine D (µg/100 g);Vitamine E (mg/100 g);Vitamine K1 (µg/100 g);Vitamine K2 (µg/100 g);Vitamine C (mg/100 g);Vitamine B1 ou Thiamine (mg/100 g);Vitamine B2 ou Riboflavine (mg/100 g);Vitamine B3 ou PP ou Niacine (mg/100 g);Vitamine B5 ou Acide pantothénique (mg/100 g)
1;Croque-monsieur, fait maison;;01;entrées et plats composés;0105;sandwichs;000000;Non spécialisable;-;-;-;-;45,1;14,3;14,3;-;18,4;-;-;-;-;-;-;-;-;-;0;2,38;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;81,7;1,71;249;875;0,08;1,32;11;21,9;-;200;189;-;686;1,34;120;-;0,15;0,55;-;-;0,02;0,2;0,16;1,55;-
2;Croque-madame;;01;entrées et plats composés;0105;sandwichs;000000;Non spécialisable;1100;264;1100;264;50,7;13,7;13,7;16,9;15,5;1,37;-;-;-;-;-;-;14,9;1,13;0;2,09;0;0;7,42;5,19;1,5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;172;1,29;200;-;0,069;1,27;16,1;19,5;0,2;189;154;10,9;515;1,1;141;69,8;0,6;0,78;-;-;0,014;0,17;0,22;1,19;0,48
3;Sandwich baguette, dinde, crudités (tomate, salade), mayonnaise;;01;entrées et plats composés;0105;sandwichs;000000;Non spécialisable;1070;255;1070;255;44,9;12,4;12,4;30,6;8,82;2,24;-;-;-;-;-;-;28,3;1,86;0;1,52;0;0;1,94;2,06;4,49;-;-;-;-;-;-;-;-;-;-;-;-;-;-;28,5;1,1;23,3;-;0,096;0,99;13;19,8;0,3;108;174;12,9;446;0,97;1,68;111;0,05;3,14;-;-;3,11;0,07;0,083;2,19;0,43
4;Toasts ou Canapés salés, garnitures diverses, préemballés;;01;entrées et plats composés;0105;sandwichs;000000;Non spécialisable;971;233;971;233;55,1;9,09;9,09;17,8;13,3;5,75;1,6;-;2;0,4;1,6;< 0,2;11,7;2,8;0;1,94;0;0;5,94;5,31;1,43;0,11;0,09;0,081;0,22;0,36;0,92;3,43;0,73;5,31;1,26;0,17;-;-;-;57,2;1,11;153;728;0,096;1,79;7,17;23,4;0,18;181;152;3,77;445;1,38;446;41,4;0,32;0,42;-;-;1,57;0,27;0,27;3,43;0,6
5;Burger au poisson, provenant de fast food;;01;entrées et plats composés;0105;sandwichs;000000;Non spécialisable;1100;263;1100;263;46,1;12,2;12,2;26,7;11,5;3,9;1,2;-;1,3;0,2;0,7;0,4;21,8;1,5;0;1,75;0;0,24;4,92;2,87;2,99;0,22;0,15;0,09;0,19;0,23;0,73;2,37;0,75;2,58;2,96;0,03;< 0,01;< 0,01;< 0,01;26;1,1;55;645;0,06;0,49;< 20;22;0,25;140;210;< 20;440;0,59;< 21;-;0,81;2,83;9,23;-;< 0,5;0,049;< 0,01;0,63;0,33
6;Sandwich baguette, camembert, beurre;;01;entrées et plats composés;0105;sandwichs;000000;Non spécialisable;1420;339;1420;339;32,9;11,9;11,9;34,3;16,7;2,18;-;-;-;-;-;-;32,2;1,92;0;2,26;0;0;10,4;4,6;0,71;-;-;-;-;-;-;-;-;-;-;-;-;-;-;45,1;1,72;137;-;0,11;0,7;7,57;20,6;0,34;150;111;4,02;670;1,42;153;68,6;0,21;0,52;-;-;0;0,062;0,2;0,86;0,41
7;Sandwich baguette (aliment moyen);;01;entrées et plats composés;0105;sandwichs;000000;Non spécialisable;1160;277;1160;277;41,4;11,2;11,2;31,4;11,6;2,46;;;;;;;;2,38;0;2,09;0;0;4,45;3,72;2,12;;;;;;;;;;;;;;;;1,54;;;;;;;;;;;615;;;;;;;;;;;;
8;Sandwich (aliment moyen);;01;entrées et plats composés;0105;sandwichs;000000;Non spécialisable;1020;243;1020;243;46,6;14,2;14,2;27,2;8,35;;;;;;;;;1,4;0;2,3;0;0;;;;;;;;;;;;;;;;;;;1,24;97;;;1,1;;16,9;;;184;;493;1,3;;;;;;;;;;;
9;Sandwich baguette, jambon emmental, préemballé;;01;entrées et plats composés;0105;sandwichs;000000;Non spécialisable;1190;285;1190;285;41,3;13,3;13,3;26,9;13,1;2,55;< 0,3;-;0,28;-;2,25;< 0,25;-;3;0;2,42;0;0;5,3;3,58;0,77;0,28;0,17;0,12;0,2;0,24;0,81;2,47;1,01;2,88;0,52;0,12;-;-;< 0,01;-;1,58;-;-;-;-;-;-;-;-;-;-;635;-;-;-;-;-;-;-;-;-;-;-;-
10;Hamburger, provenant de fast food;;01;entrées et plats composés;0105;sandwichs;000000;Non spécialisable;1030;246;1030;246;46,1;13,3;13,3;28,3;8,44;5,95;3,19;0;2,13;0;0,63;0;20,7;1,8;0;2,12;0;0;2,82;3,64;0,55;< 0,05;< 0,05;< 0,05;0,007;0,007;0,17;1,67;0,88;3,07;0,52;0,023;-;0,00095;0;29;1,23;64;-;0,08;1,23;16,9;29,7;0,22;110;251;< 10;492;2,26;0;34;0,1;0,07;4,9;-;0,3;0,35;0,19;4,06;0,37
11;Carpaccio de boeuf, avec marinade;;01;entrées et plats composés;0103;plats composés;010301;plats de viande sans garniture;1120;271;1120;271;57;15,2;15,2;0,55;23;0,5;-;-;-;-;-;-;0,0024;0,36;0;2,04;0;traces;7,38;10;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;55,6;1,12;112;-;0,1;1,84;9,12;22,6;0,064;187;242;5,84;437;2,79;23,6;98,3;0,38;3,18;-;-;5,87;0,088;0,17;2,11;0,28
12;Boeuf bourguignon;;01;entrées et plats composés;0103;plats composés;010301;plats de viande sans garniture;355;84,6;355;84,6;78,4;8,93;8,93;4,17;3,3;1,57;-;-;-;-;-;-;1,3;1,25;0;1,36;0;traces;0,88;1,18;0,44;< 0,05;0,0025;0,0025;0,004;0,006;0,044;0,52;0,27;0,71;0,22;0,022;-;-;< 0,01;64;0,88;16,9;409;0,053;1,75;3,8;13,3;0,054;215;230;< 2,58;354;2,91;10;-;0,5;0,6;-;-;0,8;0,07;0,1;2,3;0,3
13;Paupiette de volaille;;01;entrées et plats composés;0103;plats composés;010301;plats de viande sans garniture;691;164;691;164;64,2;23,9;23,9;8,8;3,4;-;-;-;-;-;-;-;2,97;1,17;0;1,51;0;traces;0,65;1,63;0,81;-;-;-;-;-;-;-;-;-;-;-;-;-;-;59,6;1,05;27,6;-;0,083;1,03;5,4;38,6;0,18;130;264;6,08;251;1,09;26,1;1160;0,14;0,69;-;-;1,33;0,082;0,11;3,97;0,56
14;Brochette de boeuf, cuite;;01;entrées et plats composés;0103;plats composés;010301;plats de viande sans garniture;583;139;583;139;69,2;21,9;21,9;0,33;5,2;-;-;-;-;-;-;-;-;< 3;0;1,83;0;traces;1,8;2,35;0,71;< 0,01;< 0,01;< 0,01;< 0,01;< 0,01;0,08;1,03;0,64;2,03;0,51;0,12;0,04;< 0,01;< 0,01;60,2;0,86;23;445;0,1;2,4;< 20;25;0,08;200;430;< 20;345;4,4;< 21;-;< 0,25;0,65;3,71;-;10,8;0,041;0,14;4,72;0,54
15;Paupiette de veau, préemballée,  cuite au four;;01;entrées et plats composés;0103;plats composés;010301;plats de viande sans garniture;1150;276;1150;276;54,8;22;22;0,48;20,5;0,3;< 0,2;-;0,3;< 0,2;< 0,2;< 0,2;< 0,35;0,9;0;1,81;0;traces;8,19;8,77;2,51;< 0,01;< 0,01;< 0,01;< 0,01;0,03;0,4;4,71;2,88;7,77;2,07;0,23;0,07;< 0,01;< 0,01;89,5;1,07;24;558;0,07;0,94;< 20;18;0,03;180;260;< 20;428;2,3;< 21;-;< 0,25;< 0,08;0,87;-;1,62;0,16;0,071;3,83;0,59
16;Paupiette de veau;;01;entrées et plats composés;0103;plats composés;010301;plats de viande sans garniture;801;193;801;193;64,1;14,5;14,5;2,6;13,8;0,41;-;-;-;-;-;-;2,19;0,2;0;1,74;0;traces;5,45;3,05;1,28;-;-;-;-;-;-;-;-;-;-;-;-;-;-;63,3;1,26;27,6;-;0,088;1;5,54;37,2;0,18;133;272;3,26;510;1,25;24,9;1160;0,1;0,68;-;-;1,34;0,084;0,14;3,51;0,59
17;Boulettes au boeuf, à la sauce tomate, préemballées;;01;entrées et plats composés;0103;plats composés;010301;plats de viande sans garniture;487;117;487;117;-;9;9;5,5;6,5;-;-;-;-;-;-;-;-;traces;0;-;0;traces;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
18;Langue de boeuf sauce madère, préemballée;;01;entrées et plats composés;0103;plats composés;010301;plats de viande sans garniture;746;180;746;180;-;9,5;9,5;4,5;13,5;2,5;-;-;-;-;-;-;-;1;0;1,08;0;traces;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1,08;-;-;-;-;-;-;-;-;-;-;430;-;-;-;-;-;-;-;-;-;-;-;-
19;Lapin à la moutarde, préemballé;;01;entrées et plats composés;0103;plats composés;010301;plats de viande sans garniture;453;108;453;108;-;14,9;14,9;0,5;5;0,5;-;-;-;-;-;-;-;0,8;0;1,2;0;traces;2,1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1,2;-;-;-;-;-;-;-;-;-;-;480;-;-;-;-;-;-;-;-;-;-;-;-
20;Meloukhia, plat à base de boeuf et corete, fait maison;;01;entrées et plats composés;0103;plats composés;010301;plats de viande sans garniture;783;189;783;189;67,7;10,6;10,6;1,2;14,7;1,2;-;-;-;-;-;-;0;4,7;0;1,6;0;traces;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;23;0,93;51,3;-;0,04;2,4;2,8;30,6;0,05;88;228;2,1;373;2;0;143;0;5,1;-;-;1,5;0,03;0,14;1,36;0,32
21;Carpaccio de boeuf, avec marinade;;01;entrées et plats composés;0103;plats composés;010301;plats de viande sans garniture;1120;271;1120;271;57;15,2;15,2;0,55;23;0,5;-;-;-;-;-;-;0,0024;0,36;0;2,04;0;traces;7,38;10;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;55,6;1,12;112;-;0,1;1,84;9,12;22,6;0,064;187;242;5,84;437;2,79;23,6;98,3;0,38;3,18;-;-;5,87;0,088;0,17;2,11;0,28
22;Boeuf bourguignon;;01;entrées et plats composés;0103;plats composés;010301;plats de viande sans garniture;355;84,6;355;84,6;78,4;8,93;8,93;4,17;3,3;1,57;-;-;-;-;-;-;1,3;1,25;0;1,36;0;traces;0,88;1,18;0,44;< 0,05;0,0025;0,0025;0,004;0,006;0,044;0,52;0,27;0,71;0,22;0,022;-;-;< 0,01;64;0,88;16,9;409;0,053;1,75;3,8;13,3;0,054;215;230;< 2,58;354;2,91;10;-;0,5;0,6;-;-;0,8;0,07;0,1;2,3;0,3
23;Paupiette de volaille;;01;entrées et plats composés;0103;plats composés;010301;plats de viande sans garniture;691;164;691;164;64,2;23,9;23,9;8,8;3,4;-;-;-;-;-;-;-;2,97;1,17;0;1,51;0;traces;0,65;1,63;0,81;-;-;-;-;-;-;-;-;-;-;-;-;-;-;59,6;1,05;27,6;-;0,083;1,03;5,4;38,6;0,18;130;264;6,08;251;1,09;26,1;1160;0,14;0,69;-;-;1,33;0,082;0,11;3,97;0,56
24;Brochette de boeuf, cuite;;01;entrées et plats composés;0103;plats composés;010301;plats de viande sans garniture;583;139;583;139;69,2;21,9;21,9;0,33;5,2;-;-;-;-;-;-;-;-;< 3;0;1,83;0;traces;1,8;2,35;0,71;< 0,01;< 0,01;< 0,01;< 0,01;< 0,01;0,08;1,03;0,64;2,03;0,51;0,12;0,04;< 0,01;< 0,01;60,2;0,86;23;445;0,1;2,4;< 20;25;0,08;200;430;< 20;345;4,4;< 21;-;< 0,25;0,65;3,71;-;10,8;0,041;0,14;4,72;0,54
25;Paupiette de veau, préemballée,  cuite au four;;01;entrées et plats composés;0103;plats composés;010301;plats de viande sans garniture;1150;276;1150;276;54,8;22;22;0,48;20,5;0,3;< 0,2;-;0,3;< 0,2;< 0,2;< 0,2;< 0,35;0,9;0;1,81;0;traces;8,19;8,77;2,51;< 0,01;< 0,01;< 0,01;< 0,01;0,03;0,4;4,71;2,88;7,77;2,07;0,23;0,07;< 0,01;< 0,01;89,5;1,07;24;558;0,07;0,94;< 20;18;0,03;180;260;< 20;428;2,3;< 21;-;< 0,25;< 0,08;0,87;-;1,62;0,16;0,071;3,83;0,59
26;Paupiette de veau;;01;entrées et plats composés;0103;plats composés;010301;plats de viande sans garniture;801;193;801;193;64,1;14,5;14,5;2,6;13,8;0,41;-;-;-;-;-;-;2,19;0,2;0;1,74;0;traces;5,45;3,05;1,28;-;-;-;-;-;-;-;-;-;-;-;-;-;-;63,3;1,26;27,6;-;0,088;1;5,54;37,2;0,18;133;272;3,26;510;1,25;24,9;1160;0,1;0,68;-;-;1,34;0,084;0,14;3,51;0,59
27;Boulettes au boeuf, à la sauce tomate, préemballées;;01;entrées et plats composés;0103;plats composés;010301;plats de viande sans garniture;487;117;487;117;-;9;9;5,5;6,5;-;-;-;-;-;-;-;-;traces;0;-;0;traces;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
28;Langue de boeuf sauce madère, préemballée;;01;entrées et plats composés;0103;plats composés;010301;plats de viande sans garniture;746;180;746;180;-;9,5;9,5;4,5;13,5;2,5;-;-;-;-;-;-;-;1;0;1,08;0;traces;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1,08;-;-;-;-;-;-;-;-;-;-;430;-;-;-;-;-;-;-;-;-;-;-;-
29;Lapin à la moutarde, préemballé;;01;entrées et plats composés;0103;plats composés;010301;plats de viande sans garniture;453;108;453;108;-;14,9;14,9;0,5;5;0,5;-;-;-;-;-;-;-;0,8;0;1,2;0;traces;2,1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1,2;-;-;-;-;-;-;-;-;-;-;480;-;-;-;-;-;-;-;-;-;-;-;-
30;Meloukhia, plat à base de boeuf et corete, fait maison;;01;entrées et plats composés;0103;plats composés;010301;plats de viande sans garniture;783;189;783;189;67,7;10,6;10,6;1,2;14,7;1,2;-;-;-;-;-;-;0;4,7;0;1,6;0;traces;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;23;0,93;51,3;-;0,04;2,4;2,8;30,6;0,05;88;228;2,1;373;2;0;143;0;5,1;-;-;1,5;0,03;0,14;1,36;0,32
31;Cassoulet, appertisé;;01;entrées et plats composés;0103;plats composés;010303;plats de viande et légumes/légumineuses;539;129;539;129;70,6;8,06;8,06;9,41;5,77;1,06;< 0,3;-;0,2;-;< 0,28;0,29;7,3;3,55;0;1,63;0;traces;2,07;2,63;0,8;< 0,05;< 0,05;< 0,05;0,0055;0,0055;0,063;1,37;0,63;-;0,53;0,14;-;-;-;21,3;0,97;45,7;495;0,14;1,23;6;34,8;0,22;107;289;< 10;388;0,88;3,5;0;< 0,5;0,18;-;-;2,94;0,083;0,057;1,25;0,16
32;Boeuf aux carottes;;01;entrées et plats composés;0103;plats composés;010303;plats de viande et légumes/légumineuses;406;96,6;406;96,6;78,5;13,2;13,2;3,3;3,15;0,6;-;-;-;-;-;-;2,7;1,1;0;1,15;0;traces;1,21;1,47;0,44;-;-;-;0,003;0,0033;0,059;0,71;0,31;1,47;0,39;0,02;0,018;-;-;47;0,58;15,9;425;< 0,1;0,9;3,5;11,3;< 0,1;95;119;3,2;231;3,5;0;456;0;0,4;-;-;2;0,07;0,16;1,77;0,44
33;Osso buco;;01;entrées et plats composés;0103;plats composés;010303;plats de viande et légumes/légumineuses;406;96,7;406;96,7;77,4;11,2;11,2;3,5;4,08;1,1;-;-;-;-;-;-;2,3;0,6;0;1,9;0;traces;0,8;2,62;0,39;-;-;-;-;-;-;-;-;-;-;-;-;-;-;26;1,47;13,7;-;0,057;0,6;3,3;18,4;0,066;97,4;234;3,24;586;1,26;0;481;0;0,53;-;-;2,4;0,083;0,12;3,48;0,25
34;Navarin d'agneau aux légumes;;01;entrées et plats composés;0103;plats composés;010303;plats de viande et légumes/légumineuses;554;133;554;133;73,7;8,05;8,05;5;8,61;0,9;-;-;-;-;-;-;1,61;1,65;0;1,01;0;traces;1,4;2,54;0,95;-;-;-;-;-;-;-;-;-;-;-;-;-;-;40,3;0,63;22,1;-;0,065;1,31;5,16;17,9;0,16;107;230;1,8;260;0,85;20,7;846;0,039;0,84;-;-;4,76;0,1;0,14;3,15;0,4
35;Choucroute garnie, préemballée;;01;entrées et plats composés;0103;plats composés;010303;plats de viande et légumes/légumineuses;454;109;454;109;82,4;5,06;5,06;2,8;8,06;0,66;< 0,3;-;0,28;-;< 0,28;< 0,29;-;2,71;0;1,6;0;traces;3,22;3,45;0,96;< 0,05;< 0,05;< 0,05;0,0075;0,0075;0,1;1,86;0,98;-;0,82;0,074;-;-;-;34,7;1,39;27,1;633;0,076;0,83;17,8;18;0,067;60,6;97,5;< 10;552;0,84;0;0;0;0,25;-;-;9,09;0,14;0,11;0,68;-
36;Pot-au-feu, préemballé;;01;entrées et plats composés;0103;plats composés;010303;plats de viande et légumes/légumineuses;326;77,5;326;77,5;82,9;10,9;10,9;3,2;2,02;1,5;-;-;0,4;-;< 0,2;0,7;1,7;1,5;0;0,78;0;traces;0,82;0,97;0,05;< 0,01;< 0,01;< 0,01;0,0014;0,0015;0,053;0,57;0,2;0,97;0,04;0,0079;0,002;-;< 0,01;28,8;0,32;23,5;304;0,15;1,69;6;16,2;0,069;-;189;< 10;130;3,48;-;718;-;-;-;-;-;-;-;-;-
37;Tajine de mouton;;01;entrées et plats composés;0103;plats composés;010303;plats de viande et légumes/légumineuses;550;132;550;132;73;12,8;12,8;4,5;6,83;2,4;-;-;-;-;-;-;2,1;< 1;0;1,5;0;traces;2,73;3,25;0,52;-;-;-;-;-;-;-;-;-;-;-;-;-;-;57,8;0,99;5,1;583;0,1;1,6;2;14,7;< 0,1;102;211;1;394;3;4;700;< 0,5;0,71;-;-;< 0,5;0,07;0,16;2,95;0,23
38;Chou farci, préemballé;;01;entrées et plats composés;0103;plats composés;010303;plats de viande et légumes/légumineuses;393;94,9;393;94,9;81,2;5,3;5,3;2;6,6;2;0,72;-;0,88;< 0,3;< 0,3;0,4;-;3,13;0;1,44;0;traces;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0,87;145;-;0,23;-;-;41,4;0,65;-;-;5,33;350;0,8;-;-;-;-;-;-;-;-;-;-;-
39;Petit salé ou saucisse aux lentilles, préemballé;;01;entrées et plats composés;0103;plats composés;010303;plats de viande et légumes/légumineuses;494;118;494;118;73,5;8,24;8,24;8,89;4,87;1,51;< 0,3;-;0,22;-;< 0,28;0,3;6,3;2,83;0;1,64;0;traces;1,89;1,97;0,6;< 0,05;< 0,05;< 0,05;0,004;0,004;0,056;1;0,48;-;0,56;0,043;-;-;< 0,01;27;0,98;20;610;0,2;1,8;2;19,4;0,3;145;167;2,8;384;1,2;< 2;280;< 0,5;0,39;-;-;< 0,5;0,24;0,075;1,5;0,23
40;Chop suey (porc ou poulet), préemballé;;01;entrées et plats composés;0103;plats composés;010303;plats de viande et légumes/légumineuses;329;78,2;329;78,2;-;5;5;7,8;3;-;-;-;-;-;-;-;-;traces;0;-;0;traces;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
41;Brochette de crevettes;;01;entrées et plats composés;0103;plats composés;010304;plats de poisson sans garniture;396;93,5;396;93,5;75;18,5;18,5;1,5;1,5;0;-;-;-;-;-;-;0,13;0;0;2,71;0;traces;0,1;0,88;0,22;-;-;-;-;-;-;-;-;-;-;-;-;0,05;0,084;120;0,35;100;-;0,01;1,7;31,5;36,8;0,085;153;169;4,92;140;0,51;7,22;71,5;0,21;1,96;-;-;8,33;0,034;0,038;1,79;0,25
42;Moules marinières (oignons et vin blanc);;01;entrées et plats composés;0103;plats composés;010304;plats de poisson sans garniture;388;92;388;92;76,5;10,3;10,3;7,43;2,24;1,05;< 0,3;-;< 0,3;-;0,21;< 0,3;-;0,53;0,004;1,6;0;traces;0,99;0,59;0,61;-;-;-;-;-;-;-;-;-;0,17;0,01;-;-;-;-;0,69;-;-;-;-;-;-;-;-;-;-;345;-;-;-;-;-;-;-;-;-;-;-;-
43;Poisson blanc, cuit (aliment moyen);;01;entrées et plats composés;0103;plats composés;010304;plats de poisson sans garniture;454;107;454;107;74;22;22;0;2,18;0;0;;0;0;0;0;0,038;0;0;1,7;0;0;0,44;0,66;0,49;;;;;0,0042;0,053;0,28;0,064;0,36;0,09;0,021;0,021;0,12;0,19;63,6;0,88;30,3;139;0,051;0,38;63,5;27;0,026;192;296;32,3;354;0,58;8,18;1,5;1,59;0,71;;;0,45;0,061;0,089;2,2;0,25
44;Poisson blanc à la florentine (sauce aux épinards), préemballé;;01;entrées et plats composés;0103;plats composés;010304;plats de poisson sans garniture;420;100;420;100;-;11,4;11,4;2,9;4,35;1,95;-;-;-;-;-;-;-;2;0;0,56;0;traces;2,75;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0,56;-;-;-;-;-;-;-;-;-;-;232;-;-;-;-;-;-;-;-;-;-;-;-
45;Poisson blanc à la bordelaise, préemballé;;01;entrées et plats composés;0103;plats composés;010304;plats de poisson sans garniture;735;176;735;176;67,5;14,8;14,8;5,3;10,4;1,09;0,35;-;0,26;0,17;0,058;0,25;3,7;1;0;2;0;traces;2,3;2,92;2,88;0;0,013;0,0086;0,018;0,026;0,099;1,67;0,35;2,77;-;0,11;0,0035;0,031;-;51;1,28;21,1;724;< 1;1,2;92;17,5;< 1;162;317;4,9;513;< 1;< 2;-;0,9;2,6;-;-;9,7;< 0,05;< 0,05;9,2;0,18
46;Saumon farci, préemballé;;01;entrées et plats composés;0103;plats composés;010304;plats de poisson sans garniture;945;227;945;227;-;18,8;18,8;0,4;16,2;0,4;-;-;-;-;-;-;-;2,4;0;0,65;0;traces;3,8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0,65;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
47;Saumon à l'oseille, préemballé;;01;entrées et plats composés;0103;plats composés;010304;plats de poisson sans garniture;557;133;557;133;71,2;8,36;8,36;7,43;7,65;0,58;< 0,3;-;< 0,3;-;< 0,3;0,3;-;0,73;0;1,01;0;traces;3,19;2,33;1,1;-;-;-;-;-;-;-;-;-;0,57;0,18;-;-;-;-;0,69;-;-;-;-;-;-;-;-;-;-;277;-;-;-;-;-;-;-;-;-;-;-;-
48;Moules farcies (matière grasse, persillade…), préemballées, crues;;01;entrées et plats composés;0103;plats composés;010304;plats de poisson sans garniture;1170;284;1170;284;57,5;9,56;9,56;4,43;24,8;0,3;< 0,2;-;< 0,2;0,3;< 0,2;< 0,2;-;1,26;0;1,74;0;0,7;16,6;5,57;0,95;0,8;0,53;0,33;0,7;0,9;2,81;7,63;2,29;4,52;0,35;0,1;0,05;0,25;0,09;88,5;1,08;40;790;0,11;2,5;100;45;0,16;180;180;30;430;2;209;-;< 0,25;1,79;11,4;-;< 0,5;< 0,015;0,14;1,09;0,34
49;Brochette de poisson;;01;entrées et plats composés;0103;plats composés;010304;plats de poisson sans garniture;535;127;535;127;73,8;18;18;0,86;5,71;0,85;-;-;-;-;-;-;0,012;0,29;0;1,25;0;traces;0,98;3,14;1;-;-;-;-;-;-;-;-;-;-;-;-;0,11;0,23;43,5;0,56;26,5;-;0,026;0,72;65,5;28,4;0,049;190;320;11,7;223;0,25;18,4;59,8;1,41;1,02;-;-;6,33;0,074;0,067;2,84;0,29
50;Poisson blanc à la parisienne (sauce aux champignons), préemballé;;01;entrées et plats composés;0103;plats composés;010304;plats de poisson sans garniture;335;79,9;335;79,9;84,2;9,16;9,16;3;3,25;0,86;< 0,1;-;< 0,1;< 0,1;< 0,1;0,13;-;1;0;1,24;0;traces;1,56;0,72;0,83;-;-;-;0,049;-;-;-;-;-;-;-;-;-;-;-;0,55;-;-;-;-;-;-;-;-;-;-;220;-;-;-;-;-;-;-;-;-;-;-;-
51;Couscous au poisson;;01;entrées et plats composés;0103;plats composés;010305;plats de poisson et féculents;442;105;442;105;75,6;7,5;7,5;14,2;1,6;1,7;-;-;-;-;-;-;12,5;1,7;0;1,4;0;traces;0,2;0,3;0,9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15,6;0,84;24;-;0,1;4,1;10;23;0,2;89;192;-;337;0,4;0,9;1020;0,1;1,2;-;-;7,6;0,1;0,1;-;0,2
52;Gratin de poisson et purée ou brandade aux pommes de terre ou parmentier de poisson, préemballé;;01;entrées et plats composés;0103;plats composés;010305;plats de poisson et féculents;491;117;491;117;74,9;6,39;6,39;8,57;6,15;1,62;< 0,23;-;< 0,23;0,73;< 0,23;< 0,23;6,4;1,1;0;1,56;0;traces;3,68;1,74;0,46;0,068;0,041;0,026;0,053;0,064;0,21;1,17;0,33;1,74;0,35;0,099;0,0047;0,0067;-;31;0,81;46,8;897;< 1;< 1;20;17,1;< 1;90;190;4,7;323;< 1;16;< 50;1,1;1,5;-;-;< 1;< 0,05;0,09;0,32;0,23
53;Paëlla;;01;entrées et plats composés;0103;plats composés;010305;plats de poisson et féculents;621;148;621;148;66,9;7,86;7,86;17,1;4,9;1,2;0,32;-;0,43;< 0,2;< 0,2;0,23;15,1;1,85;0;1,26;0;traces;1,28;1,08;0,55;< 0,05;< 0,05;< 0,05;< 0,05;0,002;0,025;0,37;0,17;1,08;0,47;0,036;-;0,025;0,023;22,8;0,87;38,7;482;0,11;0,69;4;25,4;0,13;90;148;< 10;343;0,68;5;125;< 0,5;1,3;-;-;1,95;0,073;0,45;2,6;0,42
