Num;alim_nom_fr;alim_nom_sci;alim_grp_code;alim_grp_nom_fr;alim_ssgrp_code;alim_ssgrp_nom_fr;alim_ssssgrp_code;alim_ssssgrp_nom_fr;Energie, Règlement UE N° 1169/2011 (kJ/100 g);Energie, Règlement UE N° 1169/2011 (kcal/100 g);Energie, N x facteur Jones, avec fibres  (kJ/100 g);Energie, N x facteur Jones, avec fibres  (kcal/100 g);Eau (g/100 g);Protéines, N x facteur de Jones (g/100 g);Protéines, N x 625 (g/100 g);Glucides (g/100 g);Lipides (g/100 g);Sucres (g/100 g);Fructose (g/100 g);Galactose (g/100 g);Glucose (g/100 g);Lactose (g/100 g);Maltose (g/100 g);Saccharose (g/100 g);Amidon (g/100 g);Fibres alimentaires (g/100 g);Polyols totaux (g/100 g);Cendres (g/100 g);Alcool (g/100 g);Acides organiques (g/100 g);AG saturés (g/100 g);AG monoinsaturés (g/100 g);AG polyinsaturés (g/100 g);AG 4:0, butyrique (g/100 g);AG 6:0, caproïque (g/100 g);AG 8:0, caprylique (g/100 g);AG 10:0, caprique (g/100 g);AG 12:0, laurique (g/100 g);AG 14:0, myristique (g/100 g);AG 16:0, palmitique (g/100 g);AG 18:0, stéarique (g/100 g);AG 18:1 9c (n-9), oléique (g/100 g);AG 18:2 9c,12c (n-6), linoléique (g/100 g);AG 18:3 c9,c12,c15 (n-3), alpha-linolénique (g/100 g);AG 20:4 5c,8c,11c,14c (n-6), arachidonique (g/100 g);AG 20:5 5c,8c,11c,14c,17c (n-3) EPA (g/100 g);AG 22:6 4c,7c,10c,13c,16c,19c (n-3) DHA (g/100 g);Cholestérol (mg/100 g);Sel chlorure de sodium (g/100 g);Calcium (mg/100 g);Chlorure (mg/100 g);Cuivre (mg/100 g);Fer (mg/100 g);Iode (µg/100 g);Magnésium (mg/100 g);Manganèse (mg/100 g);Phosphore (mg/100 g);Potassium (mg/100 g);Sélénium (µg/100 g);Sodium (mg/100 g);Zinc (mg/100 g);Rétinol (µg/100 g);Beta-Carotène (µg/100 g);Vitamine D (µg/100 g);Vitamine E (mg/100 g);Vitamine K1 (µg/100 g);Vitamine K2 (µg/100 g);Vitamine C (mg/100 g);Vitamine B1 ou Thiamine (mg/100 g);Vitamine B2 ou Riboflavine (mg/100 g);Vitamine B3 ou PP ou Niacine (mg/100 g);Vitamine B5 ou Acide pantothénique (mg/100 g)
289;Poulet, pilon, cru;;04;viandes, œufs, poissons et assimilés;0402;viandes crues;040103;poulet halal;648;155;648;155;71,7;18,4;18,4;0;9,05;0;-;-;-;-;-;-;-;0;0;1,13;0;traces;2,49;3,66;2;0,001;0;0,001;0,002;0,014;0,063;1,88;0,51;3,04;1,74;0,077;0,086;0,007;0,02;88;0,23;8,5;-;0,062;1,26;-;19;0,014;168;202;-;91;1,73;28;0;0,8;0,35;2,5;-;2;0,072;0,17;5,12;1,03
290;Poulet, aile, viande et peau, rôti/cuit au four;;04;viandes, œufs, poissons et assimilés;0401;viandes cuites;040103;poulet halal;1030;247;1030;247;59,4;23,8;23,8;0;16,9;0;-;-;-;-;-;-;-;0;0;0,88;0;traces;4,98;7,71;3,59;0;0;0;0,007;0,008;0,098;3,88;0,93;6,38;3,18;0,16;-;0,004;0,006;141;0,25;18;-;0,041;0,84;-;19;0,011;147;212;-;98;1,64;12;0;0,2;0,69;0,3;-;0;0,065;0,15;6,32;0,86
291;Poulet, cuisse, viande et peau, bouilli/cuit à l'eau;;04;viandes, œufs, poissons et assimilés;0401;viandes cuites;040103;poulet halal;790;188;790;188;64,1;26,1;26,1;< 0,55;9,1;< 0,2;< 0,2;-;< 0,2;< 0,2;< 0,2;< 0,2;< 0,35;0;0;0,92;0;0,32;2,64;4,04;1,9;< 0,01;< 0,01;< 0,01;< 0,01;< 0,01;0,05;2,04;0,53;3,25;1,6;0,15;0,07;< 0,01;< 0,01;127;0,18;15;93,6;0,09;0,96;< 20;23;0,02;180;250;< 20;73;2,3;< 21;< 5;< 0,25;0,54;< 0,8;-;< 0,5;0,059;0,092;4,36;1,22
292;Poulet, cuisse, viande et peau, rôtie/cuite au four;;04;viandes, œufs, poissons et assimilés;0401;viandes cuites;040103;poulet halal;893;213;893;213;62,2;25,9;25,9;2;11,3;0;-;-;-;-;-;-;-;0;0;1,17;0;traces;4,44;4,28;1,97;< 0,05;< 0,05;< 0,05;< 0,05;< 0,05;0,083;3,41;0,88;2,72;1,41;0,15;-;0,01;0,023;122;0,23;14,6;137;0,063;1,2;5;25,1;0,015;200;324;17,3;91;2,16;8,5;0;< 0,5;0,19;3,55;-;3;0,059;0,18;6,35;0,88
293;Poulet, filet, sans peau, sauté/poêlé, bio;;04;viandes, œufs, poissons et assimilés;0401;viandes cuites;040103;poulet halal;611;144;611;144;67,5;31,1;31,1;0;1,8;traces;< 0,2;-;< 0,2;< 0,2;< 0,2;< 0,2;-;0;0;1,4;0;1,2;0,62;0,64;0,42;< 0,01;< 0,01;< 0,01;< 0,01;< 0,01;0,02;0,44;0,16;0,55;0,35;0,02;0,05;< 0,01;< 0,01;66,9;0,12;4,5;106;0,03;0,36;< 20;34;< 0,01;270;420;20;46;0,64;< 21;-;0,43;0,082;-;-;< 0,5;0,035;0,051;14;1,51
294;Poulet, poitrine, viande et peau, rôti/cuit au four;;04;viandes, œufs, poissons et assimilés;0401;viandes cuites;040103;poulet halal;794;189;794;189;62,4;29,8;29,8;0;7,78;0;-;-;-;-;-;-;-;0;0;0,99;0;traces;2,19;3,03;1,66;0;0;0;0;0,01;0,06;1,61;0,45;-;-;-;-;0,01;0,03;84;0,18;14;-;0,05;1,07;-;27;0,018;214;245;-;71;1,02;28;0;0,1;0,27;0,3;-;0;0,066;0,12;12,7;0,94
295;Dinde, cuisse, viande sans peau, crue;;04;viandes, œufs, poissons et assimilés;0402;viandes crues;040104;dinde casher;461;109;461;109;76;21,3;21,3;0,4;2,5;0,1;0;0;0;0;0;0,1;0,05;0;0;1,03;0;traces;0,68;0,76;0,61;0;0;0;0,002;0,01;0,024;0,44;0,19;-;-;-;-;0,001;0,002;79;0,31;11;-;0,092;1,04;-;25;0,014;176;226;28;124;2,59;13;0;0,3;0,12;0;-;0;0,062;0,26;5,7;0,94
296;Dinde, aile, crue;;04;viandes, œufs, poissons et assimilés;0402;viandes crues;040104;dinde casher;800;192;800;192;66,5;20,2;20,2;0;12,3;-;-;-;-;-;-;-;-;0;0;0,81;0;traces;3,28;4,97;2,86;-;-;-;0;0,01;0,09;2,27;0,67;-;-;-;-;0;0,01;70;0,14;14;-;0,077;1,26;-;21;0,017;165;240;-;55;1,54;3;-;-;-;-;-;0;0,05;0,11;4,43;0,55
297;Dinde, escalope, sautée/poêlée;;04;viandes, œufs, poissons et assimilés;0401;viandes cuites;040104;dinde casher;524;124;524;124;66,3;28,5;28,5;0;1,09;-;-;-;-;-;-;-;-;0;0;1,48;0;traces;0,51;0,29;0,23;< 0,05;< 0,05;< 0,05;< 0,05;< 0,05;0,0085;0,33;0,13;-;0,21;0,016;-;-;-;72,5;0,16;5,42;124;0,054;0,49;4;44,4;0,012;293;462;6,48;65,2;1,22;< 2;0;< 0,5;0,08;-;-;0,75;0,049;0,083;13,5;0,84
298;Dinde, viande, rôtie/cuite au four;;04;viandes, œufs, poissons et assimilés;0401;viandes cuites;040104;dinde casher;636;151;636;151;66,7;29,1;29,1;0;3,84;0;-;-;-;-;-;-;-;0;0;1,17;0;traces;0,96;1,26;1,03;0;0;0;0,0048;0,0068;0,028;0,61;0,31;0,94;0,65;0,049;0,04;0,016;0,0043;101;0,25;9,66;-;0,094;1,14;6;44,3;0,02;222;483;< 10;101;3,75;4;0;0,3;0,06;0;-;0;0,047;0,28;9,5;0,95
